concept_key,preferred_name,semantic_definition,entity_level,value_type,cardinality,structured_shape_ref,source_of_truth_kind,read_contract,write_contract,applicability_kind,owner_candidate,representation_candidate,localization_kind,vocabulary_kind,concept_status,evidence_platforms,evidence_coverage_count,alias_concept_keys,broader_concept_key,conflicts_with_concept_keys,decision_reference,confidence,review_status,review_note
amazon:luggage:product_media:primary,"main product image locator","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,Media,product_media_primary,provider_schema_localization,provider_controlled,domain,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_offer_product_media,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:product_media:swatch,"swatch product image locator","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,Media,product_media_swatch,provider_schema_localization,provider_controlled,domain,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_offer_product_media,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:product_tax_code,"product tax code","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,PricingOrCompliance,tax_classification_candidate,provider_schema_localization,provider_controlled,deferred,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_tax_classification,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:purchasable_offer,"purchasable offer","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,Pricing,amazon_purchasable_offer,provider_schema_localization,provider_controlled,domain,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_offer_pricing,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:safety_data_sheet_url,"safety data sheet url","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ComplianceMedia,safety_data_sheet_document_reference,provider_schema_localization,provider_controlled,domain,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_compliance_portability,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:size,size,"Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ProductData,ptd_scoped_size,provider_schema_localization,provider_controlled,reusable_candidate,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:luggage:size_map,"size map","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ProductData,ptd_scoped_size_map,provider_schema_localization,provider_controlled,reusable_candidate,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:luggage:style,style,"Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ProductData,ptd_scoped_style,provider_schema_localization,provider_controlled,reusable_candidate,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:luggage:supplier_declared_has_product_identifier_exemption,"supplier declared has product identifier exemption","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ConnectorGovernance,amazon_identifier_exemption_governance,provider_schema_localization,provider_controlled,channel,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_identifier_exemption,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:target_gender,"target gender","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ProductData,ptd_scoped_target_gender,provider_schema_localization,provider_controlled,reusable_candidate,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:luggage:variant_parentage:child_parent_sku_relationship,"child parent sku relationship","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,VariantComposition,amazon_variant_parentage_schema,provider_schema_localization,provider_controlled,domain,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_variant_parentage,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:variant_parentage:parentage_level,"parentage level","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,VariantComposition,amazon_variant_parentage_schema,provider_schema_localization,provider_controlled,domain,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_variant_parentage,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:variant_parentage:variation_theme,"variation theme","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,VariantComposition,amazon_variant_parentage_schema,provider_schema_localization,provider_controlled,domain,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_variant_parentage,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:luggage:warranty_description,"warranty description","Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ProductData,warranty_description_evidence,provider_schema_localization,provider_controlled,reusable_candidate,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:luggage:wheel,wheel,"Amazon provider-local, applicability-bound PTD semantic.",PTDListingProperty,ptd_defined_structured_property,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,ptd_schema_presence_not_live_listing_read,ptd_conditioned_write_not_unconditional,product_type_marketplace_requirements_schema_version,ProductData,ptd_scoped_wheel,provider_schema_localization,provider_controlled,reusable_candidate,amazon,1,not_applicable,not_applicable,not_applicable,not_applicable,supported,PROVIDER_VERIFIED,"Provider concept only; final synthesis deferred."
amazon:ptd_meta:producttype:displayname,displayName,"Amazon provider-local, applicability-bound PTD semantic.",ProviderSchemaDiscovery,string,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,schema_discovery_metadata,not_product_write_capability,product_type_marketplace_requirements_schema_version,ProviderSchemaDiscovery,schema_display_localization_metadata,provider_schema_localization,provider_controlled,governance,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_ptd_applicability_versioning,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:ptd_meta:producttype:marketplaceids,marketplaceIds,"Amazon provider-local, applicability-bound PTD semantic.",ProviderSchemaDiscovery,list,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,schema_discovery_metadata,not_product_write_capability,product_type_marketplace_requirements_schema_version,ProviderSchemaDiscovery,marketplace_applicability,provider_schema_localization,provider_controlled,governance,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_ptd_applicability_versioning,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:ptd_meta:producttype:name,name,"Amazon provider-local, applicability-bound PTD semantic.",ProviderSchemaDiscovery,string,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,schema_discovery_metadata,not_product_write_capability,product_type_marketplace_requirements_schema_version,ProviderSchemaDiscovery,product_type_schema_applicability,provider_schema_localization,provider_controlled,governance,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_ptd_applicability_versioning,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:ptd_meta:producttypedefinition:displayname,displayName,"Amazon provider-local, applicability-bound PTD semantic.",ProviderSchemaDiscovery,string,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,schema_discovery_metadata,not_product_write_capability,product_type_marketplace_requirements_schema_version,ProviderSchemaDiscovery,schema_display_localization_metadata,provider_schema_localization,provider_controlled,governance,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_ptd_applicability_versioning,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:ptd_meta:producttypedefinition:locale,locale,"Amazon provider-local, applicability-bound PTD semantic.",ProviderSchemaDiscovery,string,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,schema_discovery_metadata,not_product_write_capability,product_type_marketplace_requirements_schema_version,ProviderSchemaDiscovery,schema_display_localization_metadata,provider_schema_localization,provider_controlled,governance,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_ptd_applicability_versioning,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:ptd_meta:producttypedefinition:marketplaceids,marketplaceIds,"Amazon provider-local, applicability-bound PTD semantic.",ProviderSchemaDiscovery,list,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,schema_discovery_metadata,not_product_write_capability,product_type_marketplace_requirements_schema_version,ProviderSchemaDiscovery,marketplace_applicability,provider_schema_localization,provider_controlled,governance,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_ptd_applicability_versioning,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:ptd_meta:producttypedefinition:metaschema,metaSchema,"Amazon provider-local, applicability-bound PTD semantic.",ProviderSchemaDiscovery,structured,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,schema_discovery_metadata,not_product_write_capability,product_type_marketplace_requirements_schema_version,ProviderSchemaDiscovery,product_type_schema_applicability,provider_schema_localization,provider_controlled,governance,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_ptd_applicability_versioning,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:ptd_meta:producttypedefinition:producttype,productType,"Amazon provider-local, applicability-bound PTD semantic.",ProviderSchemaDiscovery,string,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,schema_discovery_metadata,not_product_write_capability,product_type_marketplace_requirements_schema_version,ProviderSchemaDiscovery,product_type_schema_applicability,provider_schema_localization,provider_controlled,governance,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_ptd_applicability_versioning,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:ptd_meta:producttypedefinition:producttypeversion,productTypeVersion,"Amazon provider-local, applicability-bound PTD semantic.",ProviderSchemaDiscovery,structured,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,schema_discovery_metadata,not_product_write_capability,product_type_marketplace_requirements_schema_version,ProviderSchemaDiscovery,schema_version_metadata,provider_schema_localization,provider_controlled,governance,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_ptd_applicability_versioning,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:ptd_meta:producttypedefinition:propertygroups,propertyGroups,"Amazon provider-local, applicability-bound PTD semantic.",ProviderSchemaDiscovery,structured,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,schema_discovery_metadata,not_product_write_capability,product_type_marketplace_requirements_schema_version,ProviderSchemaDiscovery,schema_property_grouping,provider_schema_localization,provider_controlled,governance,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_ptd_applicability_versioning,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:ptd_meta:producttypedefinition:requirements,requirements,"Amazon provider-local, applicability-bound PTD semantic.",ProviderSchemaDiscovery,string,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,schema_discovery_metadata,not_product_write_capability,product_type_marketplace_requirements_schema_version,ProviderSchemaDiscovery,requirements_set_applicability,provider_schema_localization,provider_controlled,governance,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_ptd_applicability_versioning,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:ptd_meta:producttypedefinition:requirementsenforced,requirementsEnforced,"Amazon provider-local, applicability-bound PTD semantic.",ProviderSchemaDiscovery,string,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,schema_discovery_metadata,not_product_write_capability,product_type_marketplace_requirements_schema_version,ProviderSchemaDiscovery,requirements_set_applicability,provider_schema_localization,provider_controlled,governance,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_ptd_applicability_versioning,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:ptd_meta:producttypedefinition:schema,schema,"Amazon provider-local, applicability-bound PTD semantic.",ProviderSchemaDiscovery,structured,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,schema_discovery_metadata,not_product_write_capability,product_type_marketplace_requirements_schema_version,ProviderSchemaDiscovery,product_type_schema_applicability,provider_schema_localization,provider_controlled,governance,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_ptd_applicability_versioning,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:ptd_meta:producttypelist:producttypes,productTypes,"Amazon provider-local, applicability-bound PTD semantic.",ProviderSchemaDiscovery,list,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,schema_discovery_metadata,not_product_write_capability,product_type_marketplace_requirements_schema_version,ProviderSchemaDiscovery,product_type_schema_applicability,provider_schema_localization,provider_controlled,governance,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_ptd_applicability_versioning,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:ptd_meta:producttypelist:producttypeversion,productTypeVersion,"Amazon provider-local, applicability-bound PTD semantic.",ProviderSchemaDiscovery,string,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,schema_discovery_metadata,not_product_write_capability,product_type_marketplace_requirements_schema_version,ProviderSchemaDiscovery,schema_version_metadata,provider_schema_localization,provider_controlled,governance,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_ptd_applicability_versioning,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:ptd_meta:producttypeversion:latest,latest,"Amazon provider-local, applicability-bound PTD semantic.",ProviderSchemaDiscovery,boolean,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,schema_discovery_metadata,not_product_write_capability,product_type_marketplace_requirements_schema_version,ProviderSchemaDiscovery,schema_version_metadata,provider_schema_localization,provider_controlled,governance,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_ptd_applicability_versioning,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:ptd_meta:producttypeversion:releasecandidate,releaseCandidate,"Amazon provider-local, applicability-bound PTD semantic.",ProviderSchemaDiscovery,boolean,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,schema_discovery_metadata,not_product_write_capability,product_type_marketplace_requirements_schema_version,ProviderSchemaDiscovery,schema_version_metadata,provider_schema_localization,provider_controlled,governance,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_ptd_applicability_versioning,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:ptd_meta:producttypeversion:version,version,"Amazon provider-local, applicability-bound PTD semantic.",ProviderSchemaDiscovery,string,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,schema_discovery_metadata,not_product_write_capability,product_type_marketplace_requirements_schema_version,ProviderSchemaDiscovery,schema_version_metadata,provider_schema_localization,provider_controlled,governance,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_ptd_applicability_versioning,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:ptd_meta:propertygroup:description,description,"Amazon provider-local, applicability-bound PTD semantic.",ProviderSchemaDiscovery,string,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,schema_discovery_metadata,not_product_write_capability,product_type_marketplace_requirements_schema_version,ProviderSchemaDiscovery,schema_display_localization_metadata,provider_schema_localization,provider_controlled,governance,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_ptd_applicability_versioning,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:ptd_meta:propertygroup:propertynames,propertyNames,"Amazon provider-local, applicability-bound PTD semantic.",ProviderSchemaDiscovery,list,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,schema_discovery_metadata,not_product_write_capability,product_type_marketplace_requirements_schema_version,ProviderSchemaDiscovery,schema_property_grouping,provider_schema_localization,provider_controlled,governance,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_ptd_applicability_versioning,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:ptd_meta:propertygroup:title,title,"Amazon provider-local, applicability-bound PTD semantic.",ProviderSchemaDiscovery,string,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,schema_discovery_metadata,not_product_write_capability,product_type_marketplace_requirements_schema_version,ProviderSchemaDiscovery,schema_display_localization_metadata,provider_schema_localization,provider_controlled,governance,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_ptd_applicability_versioning,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:ptd_meta:schemalink:checksum,checksum,"Amazon provider-local, applicability-bound PTD semantic.",ProviderSchemaDiscovery,string,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,schema_discovery_metadata,not_product_write_capability,product_type_marketplace_requirements_schema_version,ProviderSchemaDiscovery,schema_content_checksum,provider_schema_localization,provider_controlled,governance,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_ptd_applicability_versioning,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
amazon:ptd_meta:schemalink:link,link,"Amazon provider-local, applicability-bound PTD semantic.",ProviderSchemaDiscovery,structured,optional_one,PTD_defined_shape,amazon_ptd_schema_evidence,schema_discovery_metadata,not_product_write_capability,product_type_marketplace_requirements_schema_version,ProviderSchemaDiscovery,schema_retrieval_link,provider_schema_localization,provider_controlled,governance,amazon,1,not_applicable,not_applicable,not_applicable,queue:amazon_ptd_applicability_versioning,supported,DEFERRED_REVIEW,"Provider concept only; final synthesis deferred."
