object_family,subfield,entry_kind,semantic_note,source_surface,write_semantics,review_status
collection_create_input,handle,connector_context,current CollectionCreateInput.handle,admin_graphql_collection_sources,collectionCreate current model; collection starts unpublished,LEAD_COMPLETENESS_PASS
collection_create_input,image,structured_capability,current CollectionCreateInput.image,admin_graphql_collection_sources,collectionCreate current model; collection starts unpublished,LEAD_COMPLETENESS_PASS
collection_create_input,metafields,structured_capability,current CollectionCreateInput.metafields,admin_graphql_collection_sources,collectionCreate current model; collection starts unpublished,LEAD_COMPLETENESS_PASS
collection_create_input,seo,structured_capability,current CollectionCreateInput.seo,admin_graphql_collection_sources,collectionCreate current model; collection starts unpublished,LEAD_COMPLETENESS_PASS
collection_create_input,sortOrder,domain_value,current CollectionCreateInput.sortOrder,admin_graphql_collection_sources,collectionCreate current model; collection starts unpublished,LEAD_COMPLETENESS_PASS
collection_create_input,sources,structured_capability,current CollectionCreateInput.sources,admin_graphql_collection_sources,collectionCreate current model; collection starts unpublished,LEAD_COMPLETENESS_PASS
collection_create_input,templateSuffix,connector_context,current CollectionCreateInput.templateSuffix,admin_graphql_collection_sources,collectionCreate current model; collection starts unpublished,LEAD_COMPLETENESS_PASS
collection_create_input,title,semantic_field,current CollectionCreateInput.title,admin_graphql_collection_sources,collectionCreate current model; collection starts unpublished,LEAD_COMPLETENESS_PASS
quantity_rule_input,increment,domain_value,QuantityRuleInput.increment,admin_graphql_pricelists,quantityRulesAdd / QuantityPricingByVariantUpdate,LEAD_COMPLETENESS_PASS
quantity_rule_input,maximum,domain_value,QuantityRuleInput.maximum,admin_graphql_pricelists,quantityRulesAdd / QuantityPricingByVariantUpdate,LEAD_COMPLETENESS_PASS
quantity_rule_input,minimum,domain_value,QuantityRuleInput.minimum,admin_graphql_pricelists,quantityRulesAdd / QuantityPricingByVariantUpdate,LEAD_COMPLETENESS_PASS
quantity_rule_input,variantId,external_system_metadata,QuantityRuleInput.variantId,admin_graphql_pricelists,quantityRulesAdd / QuantityPricingByVariantUpdate,LEAD_COMPLETENESS_PASS
price_list_create_input,catalogId,connector_context,PriceListCreateInput.catalogId,admin_graphql_pricelists,priceListCreate; existing Catalog price-list association may be replaced,LEAD_COMPLETENESS_PASS
price_list_create_input,currency,connector_context,PriceListCreateInput.currency,admin_graphql_pricelists,priceListCreate; existing Catalog price-list association may be replaced,LEAD_COMPLETENESS_PASS
price_list_create_input,name,connector_context,PriceListCreateInput.name,admin_graphql_pricelists,priceListCreate; existing Catalog price-list association may be replaced,LEAD_COMPLETENESS_PASS
price_list_create_input,parent,structured_capability,PriceListCreateInput.parent,admin_graphql_pricelists,priceListCreate; existing Catalog price-list association may be replaced,LEAD_COMPLETENESS_PASS
price_list_parent_create_input,adjustment,structured_capability,PriceListParentCreateInput.adjustment,admin_graphql_pricelists,priceListCreate/update,LEAD_COMPLETENESS_PASS
price_list_parent_create_input,settings,structured_capability,PriceListParentCreateInput.settings,admin_graphql_pricelists,priceListCreate/update,LEAD_COMPLETENESS_PASS
price_list_price_input,compareAtPrice,domain_value,PriceListPriceInput.compareAtPrice,admin_graphql_pricelists,fixed price add/update; Pricing-owned,LEAD_COMPLETENESS_PASS
price_list_price_input,price,domain_value,PriceListPriceInput.price,admin_graphql_pricelists,fixed price add/update; Pricing-owned,LEAD_COMPLETENESS_PASS
price_list_price_input,variantId,external_system_metadata,PriceListPriceInput.variantId,admin_graphql_pricelists,fixed price add/update; Pricing-owned,LEAD_COMPLETENESS_PASS
selling_plan_group_input,appId,external_system_metadata,SellingPlanGroupInput.appId,admin_graphql_selling_plans,sellingPlanGroupCreate/Update,LEAD_COMPLETENESS_PASS
selling_plan_group_input,description,semantic_field,SellingPlanGroupInput.description,admin_graphql_selling_plans,sellingPlanGroupCreate/Update,LEAD_COMPLETENESS_PASS
selling_plan_group_input,merchantCode,schema_metadata,SellingPlanGroupInput.merchantCode,admin_graphql_selling_plans,sellingPlanGroupCreate/Update,LEAD_COMPLETENESS_PASS
selling_plan_group_input,name,semantic_field,SellingPlanGroupInput.name,admin_graphql_selling_plans,sellingPlanGroupCreate/Update,LEAD_COMPLETENESS_PASS
selling_plan_group_input,options,structured_capability,SellingPlanGroupInput.options,admin_graphql_selling_plans,sellingPlanGroupCreate/Update,LEAD_COMPLETENESS_PASS
selling_plan_group_input,position,domain_value,SellingPlanGroupInput.position,admin_graphql_selling_plans,sellingPlanGroupCreate/Update,LEAD_COMPLETENESS_PASS
selling_plan_group_input,sellingPlansToCreate,structured_capability,SellingPlanGroupInput.sellingPlansToCreate,admin_graphql_selling_plans,sellingPlanGroupCreate/Update,LEAD_COMPLETENESS_PASS
selling_plan_group_input,sellingPlansToDelete,structured_capability,SellingPlanGroupInput.sellingPlansToDelete,admin_graphql_selling_plans,sellingPlanGroupCreate/Update,LEAD_COMPLETENESS_PASS
selling_plan_group_input,sellingPlansToUpdate,structured_capability,SellingPlanGroupInput.sellingPlansToUpdate,admin_graphql_selling_plans,sellingPlanGroupCreate/Update,LEAD_COMPLETENESS_PASS
selling_plan_input,billingPolicy,structured_capability,SellingPlanInput.billingPolicy,admin_graphql_selling_plans,selling plan create/update; max 2 pricing policies,LEAD_COMPLETENESS_PASS
selling_plan_input,category,domain_value,SellingPlanInput.category,admin_graphql_selling_plans,selling plan create/update; max 2 pricing policies,LEAD_COMPLETENESS_PASS
selling_plan_input,deliveryPolicy,structured_capability,SellingPlanInput.deliveryPolicy,admin_graphql_selling_plans,selling plan create/update; max 2 pricing policies,LEAD_COMPLETENESS_PASS
selling_plan_input,description,semantic_field,SellingPlanInput.description,admin_graphql_selling_plans,selling plan create/update; max 2 pricing policies,LEAD_COMPLETENESS_PASS
selling_plan_input,id,external_system_metadata,SellingPlanInput.id,admin_graphql_selling_plans,selling plan create/update; max 2 pricing policies,LEAD_COMPLETENESS_PASS
selling_plan_input,inventoryPolicy,structured_capability,SellingPlanInput.inventoryPolicy,admin_graphql_selling_plans,selling plan create/update; max 2 pricing policies,LEAD_COMPLETENESS_PASS
selling_plan_input,metafields,structured_capability,SellingPlanInput.metafields,admin_graphql_selling_plans,selling plan create/update; max 2 pricing policies,LEAD_COMPLETENESS_PASS
selling_plan_input,name,semantic_field,SellingPlanInput.name,admin_graphql_selling_plans,selling plan create/update; max 2 pricing policies,LEAD_COMPLETENESS_PASS
selling_plan_input,options,structured_capability,SellingPlanInput.options,admin_graphql_selling_plans,selling plan create/update; max 2 pricing policies,LEAD_COMPLETENESS_PASS
selling_plan_input,position,domain_value,SellingPlanInput.position,admin_graphql_selling_plans,selling plan create/update; max 2 pricing policies,LEAD_COMPLETENESS_PASS
selling_plan_input,pricingPolicies,structured_capability,SellingPlanInput.pricingPolicies,admin_graphql_selling_plans,selling plan create/update; max 2 pricing policies,LEAD_COMPLETENESS_PASS
selling_plan_fixed_billing_policy,checkoutCharge,structured_capability,selling_plan_fixed_billing_policy.checkoutCharge,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_fixed_billing_policy,remainingBalanceChargeExactTime,domain_value,selling_plan_fixed_billing_policy.remainingBalanceChargeExactTime,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_fixed_billing_policy,remainingBalanceChargeTimeAfterCheckout,domain_value,selling_plan_fixed_billing_policy.remainingBalanceChargeTimeAfterCheckout,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_fixed_billing_policy,remainingBalanceChargeTrigger,domain_value,selling_plan_fixed_billing_policy.remainingBalanceChargeTrigger,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_recurring_billing_policy,anchors,structured_capability,selling_plan_recurring_billing_policy.anchors,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_recurring_billing_policy,createdAt,external_system_metadata,selling_plan_recurring_billing_policy.createdAt,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_recurring_billing_policy,interval,domain_value,selling_plan_recurring_billing_policy.interval,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_recurring_billing_policy,intervalCount,domain_value,selling_plan_recurring_billing_policy.intervalCount,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_recurring_billing_policy,maxCycles,domain_value,selling_plan_recurring_billing_policy.maxCycles,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_recurring_billing_policy,minCycles,domain_value,selling_plan_recurring_billing_policy.minCycles,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_fixed_delivery_policy,anchors,structured_capability,selling_plan_fixed_delivery_policy.anchors,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_fixed_delivery_policy,cutoff,domain_value,selling_plan_fixed_delivery_policy.cutoff,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_fixed_delivery_policy,fulfillmentExactTime,domain_value,selling_plan_fixed_delivery_policy.fulfillmentExactTime,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_fixed_delivery_policy,fulfillmentTrigger,domain_value,selling_plan_fixed_delivery_policy.fulfillmentTrigger,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_fixed_delivery_policy,intent,domain_value,selling_plan_fixed_delivery_policy.intent,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_fixed_delivery_policy,preAnchorBehavior,domain_value,selling_plan_fixed_delivery_policy.preAnchorBehavior,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_recurring_delivery_policy,anchors,structured_capability,selling_plan_recurring_delivery_policy.anchors,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_recurring_delivery_policy,createdAt,external_system_metadata,selling_plan_recurring_delivery_policy.createdAt,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_recurring_delivery_policy,cutoff,domain_value,selling_plan_recurring_delivery_policy.cutoff,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_recurring_delivery_policy,intent,domain_value,selling_plan_recurring_delivery_policy.intent,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_recurring_delivery_policy,interval,domain_value,selling_plan_recurring_delivery_policy.interval,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_recurring_delivery_policy,intervalCount,domain_value,selling_plan_recurring_delivery_policy.intervalCount,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_recurring_delivery_policy,preAnchorBehavior,domain_value,selling_plan_recurring_delivery_policy.preAnchorBehavior,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_inventory_policy,reserve,domain_value,selling_plan_inventory_policy.reserve,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_fixed_pricing_policy,adjustmentType,domain_value,selling_plan_fixed_pricing_policy.adjustmentType,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_fixed_pricing_policy,adjustmentValue,structured_capability,selling_plan_fixed_pricing_policy.adjustmentValue,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_fixed_pricing_policy,createdAt,external_system_metadata,selling_plan_fixed_pricing_policy.createdAt,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_recurring_pricing_policy,adjustmentType,domain_value,selling_plan_recurring_pricing_policy.adjustmentType,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_recurring_pricing_policy,adjustmentValue,structured_capability,selling_plan_recurring_pricing_policy.adjustmentValue,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_recurring_pricing_policy,afterCycle,domain_value,selling_plan_recurring_pricing_policy.afterCycle,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_recurring_pricing_policy,createdAt,external_system_metadata,selling_plan_recurring_pricing_policy.createdAt,admin_graphql_selling_plans,write via corresponding SellingPlan*Input where available,LEAD_COMPLETENESS_PASS
selling_plan_fixed_billing_policy_input,checkoutCharge,structured_capability,selling_plan_fixed_billing_policy_input.checkoutCharge,admin_graphql_selling_plans,SellingPlanInput nested write policy,LEAD_COMPLETENESS_PASS
selling_plan_fixed_billing_policy_input,remainingBalanceChargeExactTime,domain_value,selling_plan_fixed_billing_policy_input.remainingBalanceChargeExactTime,admin_graphql_selling_plans,SellingPlanInput nested write policy,LEAD_COMPLETENESS_PASS
selling_plan_fixed_billing_policy_input,remainingBalanceChargeTimeAfterCheckout,domain_value,selling_plan_fixed_billing_policy_input.remainingBalanceChargeTimeAfterCheckout,admin_graphql_selling_plans,SellingPlanInput nested write policy,LEAD_COMPLETENESS_PASS
selling_plan_fixed_billing_policy_input,remainingBalanceChargeTrigger,domain_value,selling_plan_fixed_billing_policy_input.remainingBalanceChargeTrigger,admin_graphql_selling_plans,SellingPlanInput nested write policy,LEAD_COMPLETENESS_PASS
selling_plan_recurring_billing_policy_input,anchors,structured_capability,selling_plan_recurring_billing_policy_input.anchors,admin_graphql_selling_plans,SellingPlanInput nested write policy,LEAD_COMPLETENESS_PASS
selling_plan_recurring_billing_policy_input,interval,domain_value,selling_plan_recurring_billing_policy_input.interval,admin_graphql_selling_plans,SellingPlanInput nested write policy,LEAD_COMPLETENESS_PASS
selling_plan_recurring_billing_policy_input,intervalCount,domain_value,selling_plan_recurring_billing_policy_input.intervalCount,admin_graphql_selling_plans,SellingPlanInput nested write policy,LEAD_COMPLETENESS_PASS
selling_plan_recurring_billing_policy_input,maxCycles,domain_value,selling_plan_recurring_billing_policy_input.maxCycles,admin_graphql_selling_plans,SellingPlanInput nested write policy,LEAD_COMPLETENESS_PASS
selling_plan_recurring_billing_policy_input,minCycles,domain_value,selling_plan_recurring_billing_policy_input.minCycles,admin_graphql_selling_plans,SellingPlanInput nested write policy,LEAD_COMPLETENESS_PASS
selling_plan_fixed_delivery_policy_input,anchors,structured_capability,selling_plan_fixed_delivery_policy_input.anchors,admin_graphql_selling_plans,SellingPlanInput nested write policy,LEAD_COMPLETENESS_PASS
selling_plan_fixed_delivery_policy_input,cutoff,domain_value,selling_plan_fixed_delivery_policy_input.cutoff,admin_graphql_selling_plans,SellingPlanInput nested write policy,LEAD_COMPLETENESS_PASS
selling_plan_fixed_delivery_policy_input,fulfillmentExactTime,domain_value,selling_plan_fixed_delivery_policy_input.fulfillmentExactTime,admin_graphql_selling_plans,SellingPlanInput nested write policy,LEAD_COMPLETENESS_PASS
selling_plan_fixed_delivery_policy_input,fulfillmentTrigger,domain_value,selling_plan_fixed_delivery_policy_input.fulfillmentTrigger,admin_graphql_selling_plans,SellingPlanInput nested write policy,LEAD_COMPLETENESS_PASS
selling_plan_fixed_delivery_policy_input,intent,domain_value,selling_plan_fixed_delivery_policy_input.intent,admin_graphql_selling_plans,SellingPlanInput nested write policy,LEAD_COMPLETENESS_PASS
selling_plan_fixed_delivery_policy_input,preAnchorBehavior,domain_value,selling_plan_fixed_delivery_policy_input.preAnchorBehavior,admin_graphql_selling_plans,SellingPlanInput nested write policy,LEAD_COMPLETENESS_PASS
selling_plan_recurring_delivery_policy_input,anchors,structured_capability,selling_plan_recurring_delivery_policy_input.anchors,admin_graphql_selling_plans,SellingPlanInput nested write policy,LEAD_COMPLETENESS_PASS
selling_plan_recurring_delivery_policy_input,cutoff,domain_value,selling_plan_recurring_delivery_policy_input.cutoff,admin_graphql_selling_plans,SellingPlanInput nested write policy,LEAD_COMPLETENESS_PASS
selling_plan_recurring_delivery_policy_input,intent,domain_value,selling_plan_recurring_delivery_policy_input.intent,admin_graphql_selling_plans,SellingPlanInput nested write policy,LEAD_COMPLETENESS_PASS
selling_plan_recurring_delivery_policy_input,interval,domain_value,selling_plan_recurring_delivery_policy_input.interval,admin_graphql_selling_plans,SellingPlanInput nested write policy,LEAD_COMPLETENESS_PASS
selling_plan_recurring_delivery_policy_input,intervalCount,domain_value,selling_plan_recurring_delivery_policy_input.intervalCount,admin_graphql_selling_plans,SellingPlanInput nested write policy,LEAD_COMPLETENESS_PASS
selling_plan_recurring_delivery_policy_input,preAnchorBehavior,domain_value,selling_plan_recurring_delivery_policy_input.preAnchorBehavior,admin_graphql_selling_plans,SellingPlanInput nested write policy,LEAD_COMPLETENESS_PASS
selling_plan_inventory_policy_input,reserve,domain_value,selling_plan_inventory_policy_input.reserve,admin_graphql_selling_plans,SellingPlanInput nested write policy,LEAD_COMPLETENESS_PASS
selling_plan_fixed_pricing_policy_input,adjustmentType,domain_value,selling_plan_fixed_pricing_policy_input.adjustmentType,admin_graphql_selling_plans,SellingPlanInput nested write policy,LEAD_COMPLETENESS_PASS
selling_plan_fixed_pricing_policy_input,adjustmentValue,structured_capability,selling_plan_fixed_pricing_policy_input.adjustmentValue,admin_graphql_selling_plans,SellingPlanInput nested write policy,LEAD_COMPLETENESS_PASS
selling_plan_fixed_pricing_policy_input,id,external_system_metadata,selling_plan_fixed_pricing_policy_input.id,admin_graphql_selling_plans,SellingPlanInput nested write policy,LEAD_COMPLETENESS_PASS
selling_plan_recurring_pricing_policy_input,adjustmentType,domain_value,selling_plan_recurring_pricing_policy_input.adjustmentType,admin_graphql_selling_plans,SellingPlanInput nested write policy,LEAD_COMPLETENESS_PASS
selling_plan_recurring_pricing_policy_input,adjustmentValue,structured_capability,selling_plan_recurring_pricing_policy_input.adjustmentValue,admin_graphql_selling_plans,SellingPlanInput nested write policy,LEAD_COMPLETENESS_PASS
selling_plan_recurring_pricing_policy_input,afterCycle,domain_value,selling_plan_recurring_pricing_policy_input.afterCycle,admin_graphql_selling_plans,SellingPlanInput nested write policy,LEAD_COMPLETENESS_PASS
selling_plan_recurring_pricing_policy_input,id,external_system_metadata,selling_plan_recurring_pricing_policy_input.id,admin_graphql_selling_plans,SellingPlanInput nested write policy,LEAD_COMPLETENESS_PASS
bulk_operation_input,groupObjects,connector_context,optional object grouping; slower and greater timeout risk,admin_graphql_bulk_operations,bulk operation invocation,LEAD_COMPLETENESS_PASS
bulk_operation_input,query,connector_context,GraphQL query string; must include connection,admin_graphql_bulk_operations,bulk operation invocation,LEAD_COMPLETENESS_PASS
bulk_operation_input,clientIdentifier,external_system_metadata,optional bulk mutation identifier,admin_graphql_bulk_operations,bulk operation invocation,LEAD_COMPLETENESS_PASS
bulk_operation_input,mutation,connector_context,mutation document executed per line,admin_graphql_bulk_operations,bulk operation invocation,LEAD_COMPLETENESS_PASS
bulk_operation_input,stagedUploadPath,connector_context,staged JSONL input path,admin_graphql_bulk_operations,bulk operation invocation,LEAD_COMPLETENESS_PASS
bulk_operation_result,id,external_system_metadata,BulkOperation GID,admin_graphql_bulk_operations,system-owned async evidence,LEAD_COMPLETENESS_PASS
bulk_operation_result,status,external_system_metadata,operation lifecycle,admin_graphql_bulk_operations,system-owned async evidence,LEAD_COMPLETENESS_PASS
bulk_operation_result,url,derived_projection,completed JSONL result URL; expires,admin_graphql_bulk_operations,system-owned async evidence,LEAD_COMPLETENESS_PASS
bulk_operation_result,partialDataUrl,derived_projection,partial result on failure; expires,admin_graphql_bulk_operations,system-owned async evidence,LEAD_COMPLETENESS_PASS
bulk_operation_result,objectCount,derived_projection,processed objects,admin_graphql_bulk_operations,system-owned async evidence,LEAD_COMPLETENESS_PASS
bulk_operation_result,rootObjectCount,derived_projection,root objects,admin_graphql_bulk_operations,system-owned async evidence,LEAD_COMPLETENESS_PASS
webhook_delivery_metadata,X-Shopify-Topic,external_system_metadata,event topic header,shopify_webhooks,system-owned delivery metadata,LEAD_COMPLETENESS_PASS
webhook_delivery_metadata,X-Shopify-Webhook-Id,external_system_metadata,delivery identity/idempotency evidence,shopify_webhooks,system-owned delivery metadata,LEAD_COMPLETENESS_PASS
webhook_delivery_metadata,X-Shopify-Hmac-Sha256,external_system_metadata,delivery signature,shopify_webhooks,system-owned delivery metadata,LEAD_COMPLETENESS_PASS
webhook_delivery_metadata,X-Shopify-Triggered-At,external_system_metadata,event trigger timestamp used for ordering/reconciliation,shopify_webhooks,system-owned delivery metadata,LEAD_COMPLETENESS_PASS
product_create_input,category,structured_capability,Shopify taxonomy category assignment,admin_graphql_product_inputs,WRITE via productCreate,LEAD_COMPLETENESS_PASS
product_create_input,claimOwnership,connector_context,app product-feature ownership claim,admin_graphql_product_inputs,WRITE via productCreate,LEAD_COMPLETENESS_PASS
product_create_input,collectionsToJoin,structured_capability,collection memberships to add,admin_graphql_product_inputs,WRITE via productCreate,LEAD_COMPLETENESS_PASS
product_create_input,combinedListingRole,connector_context,Combined Listing role at creation,admin_graphql_product_inputs,WRITE via productCreate,LEAD_COMPLETENESS_PASS
product_create_input,descriptionHtml,semantic_field,rich product description,admin_graphql_product_inputs,WRITE via productCreate,LEAD_COMPLETENESS_PASS
product_create_input,giftCard,connector_context,gift-card product specialization flag,admin_graphql_product_inputs,WRITE via productCreate,LEAD_COMPLETENESS_PASS
product_create_input,giftCardTemplateSuffix,connector_context,gift-card theme template suffix,admin_graphql_product_inputs,WRITE via productCreate,LEAD_COMPLETENESS_PASS
product_create_input,handle,connector_context,Shopify URL handle,admin_graphql_product_inputs,WRITE via productCreate,LEAD_COMPLETENESS_PASS
product_create_input,metafields,structured_capability,Product metafield writes,admin_graphql_product_inputs,WRITE via productCreate,LEAD_COMPLETENESS_PASS
product_create_input,productOptions,structured_capability,option definitions created with Product,admin_graphql_product_inputs,WRITE via productCreate,LEAD_COMPLETENESS_PASS
product_create_input,productType,semantic_field,merchant-defined Shopify product type,admin_graphql_product_inputs,WRITE via productCreate,LEAD_COMPLETENESS_PASS
product_create_input,requiresSellingPlan,domain_value,purchase-option requirement,admin_graphql_product_inputs,WRITE via productCreate,LEAD_COMPLETENESS_PASS
product_create_input,seo,structured_capability,SEO title/description input,admin_graphql_product_inputs,WRITE via productCreate,LEAD_COMPLETENESS_PASS
product_create_input,status,domain_value,Product lifecycle status,admin_graphql_product_inputs,WRITE via productCreate,LEAD_COMPLETENESS_PASS
product_create_input,tags,semantic_field,merchant tags; list replacement semantics,admin_graphql_product_inputs,WRITE via productCreate,LEAD_COMPLETENESS_PASS
product_create_input,templateSuffix,connector_context,theme template suffix,admin_graphql_product_inputs,WRITE via productCreate,LEAD_COMPLETENESS_PASS
product_create_input,title,semantic_field,Product title,admin_graphql_product_inputs,WRITE via productCreate,LEAD_COMPLETENESS_PASS
product_create_input,vendor,semantic_field,vendor label,admin_graphql_product_inputs,WRITE via productCreate,LEAD_COMPLETENESS_PASS
product_update_input,category,structured_capability,Shopify taxonomy category assignment,admin_graphql_product_inputs,WRITE via productUpdate,LEAD_COMPLETENESS_PASS
product_update_input,collectionsToJoin,structured_capability,collection memberships to add,admin_graphql_product_inputs,WRITE via productUpdate,LEAD_COMPLETENESS_PASS
product_update_input,collectionsToLeave,structured_capability,collection memberships to remove,admin_graphql_product_inputs,WRITE via productUpdate,LEAD_COMPLETENESS_PASS
product_update_input,deleteConflictingConstrainedMetafields,connector_context,category-change cleanup switch for constrained metafields,admin_graphql_product_inputs,WRITE via productUpdate,LEAD_COMPLETENESS_PASS
product_update_input,descriptionHtml,semantic_field,rich product description,admin_graphql_product_inputs,WRITE via productUpdate,LEAD_COMPLETENESS_PASS
product_update_input,giftCardTemplateSuffix,connector_context,gift-card theme template suffix,admin_graphql_product_inputs,WRITE via productUpdate,LEAD_COMPLETENESS_PASS
product_update_input,handle,connector_context,Shopify URL handle,admin_graphql_product_inputs,WRITE via productUpdate,LEAD_COMPLETENESS_PASS
product_update_input,id,external_system_metadata,Product GID,admin_graphql_product_inputs,WRITE via productUpdate,LEAD_COMPLETENESS_PASS
product_update_input,metafields,structured_capability,Product metafield writes,admin_graphql_product_inputs,WRITE via productUpdate,LEAD_COMPLETENESS_PASS
product_update_input,productType,semantic_field,merchant-defined Shopify product type,admin_graphql_product_inputs,WRITE via productUpdate,LEAD_COMPLETENESS_PASS
product_update_input,redirectNewHandle,connector_context,old-handle redirect behavior,admin_graphql_product_inputs,WRITE via productUpdate,LEAD_COMPLETENESS_PASS
product_update_input,requiresSellingPlan,domain_value,purchase-option requirement,admin_graphql_product_inputs,WRITE via productUpdate,LEAD_COMPLETENESS_PASS
product_update_input,seo,structured_capability,SEO title/description input,admin_graphql_product_inputs,WRITE via productUpdate,LEAD_COMPLETENESS_PASS
product_update_input,status,domain_value,Product lifecycle status,admin_graphql_product_inputs,WRITE via productUpdate,LEAD_COMPLETENESS_PASS
product_update_input,tags,semantic_field,merchant tags; overwrites existing list when supplied,admin_graphql_product_inputs,WRITE via productUpdate,LEAD_COMPLETENESS_PASS
product_update_input,templateSuffix,connector_context,theme template suffix,admin_graphql_product_inputs,WRITE via productUpdate,LEAD_COMPLETENESS_PASS
product_update_input,title,semantic_field,Product title,admin_graphql_product_inputs,WRITE via productUpdate,LEAD_COMPLETENESS_PASS
product_update_input,vendor,semantic_field,vendor label,admin_graphql_product_inputs,WRITE via productUpdate,LEAD_COMPLETENESS_PASS
product_claim_ownership_input,bundles,connector_context,app claims bundle product-feature ownership,admin_graphql_product_inputs,WRITE only where app ownership/feature rules permit,LEAD_COMPLETENESS_PASS
product_set_input,id,external_system_metadata,deprecated Product GID field; prefer ProductSetIdentifiers,admin_graphql_product_set,deprecated input field; identifier argument is preferred,LEAD_COMPLETENESS_PASS
option_update_input,id,external_system_metadata,ProductOption GID,admin_graphql_options,WRITE via productOptionUpdate,LEAD_COMPLETENESS_PASS
option_update_input,linkedMetafield,schema_metadata,linked taxonomy/metafield definition,admin_graphql_options,WRITE via productOptionUpdate,LEAD_COMPLETENESS_PASS
option_update_input,name,schema_metadata,option name,admin_graphql_options,WRITE via productOptionUpdate,LEAD_COMPLETENESS_PASS
option_update_input,position,domain_value,option order,admin_graphql_options,WRITE via productOptionUpdate,LEAD_COMPLETENESS_PASS
option_value_create_input,linkedMetafieldValue,schema_metadata,linked metafield/taxonomy value identity,admin_graphql_options,WRITE via productOptionUpdate / OptionCreateInput,LEAD_COMPLETENESS_PASS
option_value_create_input,name,schema_metadata,option value label,admin_graphql_options,WRITE via productOptionUpdate / OptionCreateInput,LEAD_COMPLETENESS_PASS
option_value_update_input,id,external_system_metadata,ProductOptionValue GID,admin_graphql_options,WRITE via productOptionUpdate,LEAD_COMPLETENESS_PASS
option_value_update_input,linkedMetafieldValue,schema_metadata,linked metafield/taxonomy value identity,admin_graphql_options,WRITE via productOptionUpdate,LEAD_COMPLETENESS_PASS
option_value_update_input,name,schema_metadata,option value label,admin_graphql_options,WRITE via productOptionUpdate,LEAD_COMPLETENESS_PASS
linked_metafield_create_input,key,schema_metadata,metafield key,admin_graphql_options,WRITE while creating/linking Product option,LEAD_COMPLETENESS_PASS
