external_field_key,external_label,normalized_data_type,external_scope,behavior_class,progress_bucket,bucket_detail,canonical_code,mapping_status,certification_status,onboarding_readiness,evidence_ref,next_action
swatch_image,Swatch,image,store,image/store,magento_standard,media_role_or_metadata,,provider_specific_or_domain_owned,SPECIAL_SURFACE_PRESERVATION_PASS,not_applicable_connector_engineering_row,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,keep_owner_specific_semantics_or_complete_dedicated_surface
tax_class_id,Tax Class,select,website,select/website,magento_standard,pricing_or_tax,,provider_specific_or_domain_owned,WRITE_READ_RESTORE_PASS,not_applicable_connector_engineering_row,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
thumbnail,Thumbnail,image,store,image/store,magento_standard,media_role_or_metadata,,provider_specific_or_domain_owned,SPECIAL_SURFACE_PRESERVATION_PASS,not_applicable_connector_engineering_row,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,keep_owner_specific_semantics_or_complete_dedicated_surface
thumbnail_label,Thumbnail Label,text,store,text/store,magento_standard,media_role_or_metadata,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
tier_price,Tier Price,text,website,text/website,magento_standard,pricing_or_tax,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
updated_at,,date,global,date/global,magento_standard,system_platform_owned,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
url_key,URL Key,text,store,text/store,magento_standard,routing_url_rewrite,,provider_specific_or_domain_owned,DEDICATED_SIDE_EFFECT_CERT_PENDING,not_applicable_connector_engineering_row,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,P-02_url_rewrite_side_effect_certification
url_path,,text,store,text/store,magento_standard,routing_url_rewrite,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
visibility,Visibility,select,store,select/store,magento_standard,standard_product_attribute,,provider_specific_or_domain_owned,WRITE_READ_RESTORE_PASS,not_applicable_connector_engineering_row,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
weight,Weight,number,global,number/global,magento_standard,standard_product_attribute,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
weight_type,Dynamic Weight,boolean,global,boolean/global,magento_standard,bundle_or_product_type_mechanic,,provider_specific_or_domain_owned,NOT_YET_CERTIFIED,not_applicable_connector_engineering_row,snapshot:a2a3edfa-025f-49cd-ab5b-4e6af71b79e6,classify_owner_behavior_then_certify
x_country_of_brand_registration,x - Країна реєстрації бренду,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,WRITE_READ_RESTORE_PASS,ready_exact_field_certified,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
x_country_of_manufacture,x - Країна виробництва товару,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,WRITE_READ_RESTORE_PASS,ready_exact_field_certified,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
x_delivery_availability,x - Доставка та наявність,select,global,select/global,workspace_custom,merchant_specific_discovered_attribute,,workspace_custom_no_global_semantic_assumption,WRITE_READ_RESTORE_PASS,ready_exact_field_certified,docs/connectors/adobe-commerce/magento_v1_real_target_field_certification_2026_09_11.json,none_field_transport_passed
